trajectory_id,n_total_steps,first_alarm_step,lead_steps,lead_fraction
0014a1b43315,4,4.0,0.0,0.0
00242c19701d,105,15.0,90.0,0.8571428571428571
00361d06b7c3,45,35.0,10.0,0.2222222222222222
00bafc32570d,39,20.0,19.0,0.48717948717948717
0120b74ddbcd,14,10.0,4.0,0.2857142857142857
01b002c5a0c0,74,25.0,49.0,0.6621621621621622
0213be91379a,16,15.0,1.0,0.0625
02c3a68cfc7e,19,15.0,4.0,0.21052631578947367
02c66147031e,42,40.0,2.0,0.047619047619047616
03225d8d2ca4,27,20.0,7.0,0.25925925925925924
0360520797f0,35,30.0,5.0,0.14285714285714285
051a4085c319,29,25.0,4.0,0.13793103448275862
05260de6dd19,13,10.0,3.0,0.23076923076923078
0579424a77a1,35,30.0,5.0,0.14285714285714285
05fe76a05f95,25,20.0,5.0,0.2
0648c3f3fdab,5,5.0,0.0,0.0
06bbdbc145f5,7,7.0,0.0,0.0
0791c83fa7fd,37,25.0,12.0,0.32432432432432434
07d183f2e7c0,25,15.0,10.0,0.4
0834598d4a34,47,20.0,27.0,0.574468085106383
0928a0241264,38,25.0,13.0,0.34210526315789475
096aa52cd1c5,28,20.0,8.0,0.2857142857142857
0b4c21c68433,2,2.0,0.0,0.0
0b671f518923,37,30.0,7.0,0.1891891891891892
0b68f748e41b,36,25.0,11.0,0.3055555555555556
0be9e41d1d4f,31,30.0,1.0,0.03225806451612903
0c19eff8851e,30,20.0,10.0,0.3333333333333333
0cc643f7eeb7,58,35.0,23.0,0.39655172413793105
0dda7c233492,15,10.0,5.0,0.3333333333333333
0e44473d8103,31,20.0,11.0,0.3548387096774194
0effd2b2f219,21,15.0,6.0,0.2857142857142857
0f8b8bc02a81,42,20.0,22.0,0.5238095238095238
10cd64940f7f,127,15.0,112.0,0.8818897637795275
10e54f8738a1,58,4.0,54.0,0.9310344827586207
112540d204b9,55,15.0,40.0,0.7272727272727273
12d6ebff2fd7,45,25.0,20.0,0.4444444444444444
13254fe65da3,55,30.0,25.0,0.45454545454545453
135b18d53a13,35,5.0,30.0,0.8571428571428571
135e9104c832,24,10.0,14.0,0.5833333333333334
13631ef914a2,14,5.0,9.0,0.6428571428571429
14a20e16a008,28,15.0,13.0,0.4642857142857143
14a3eec6de31,187,10.0,177.0,0.946524064171123
1537f574b56e,35,5.0,30.0,0.8571428571428571
153ac0790325,23,20.0,3.0,0.13043478260869565
162c1a5131fe,96,10.0,86.0,0.8958333333333334
185337fcda60,98,40.0,58.0,0.5918367346938775
18d2b576d8c8,6,3.0,3.0,0.5
18dd3826bda8,58,20.0,38.0,0.6551724137931034
191709ec4c1b,44,20.0,24.0,0.5454545454545454
19980207a99f,19,3.0,16.0,0.8421052631578947
19c0893b8f4b,51,35.0,16.0,0.3137254901960784
19f83ed1fa76,29,25.0,4.0,0.13793103448275862
1b4392016642,41,25.0,16.0,0.3902439024390244
1b888cbcc0fa,28,15.0,13.0,0.4642857142857143
1cfaf2fd4760,40,25.0,15.0,0.375
1dd0e5cf849e,62,15.0,47.0,0.7580645161290323
1dfd06ab2a3b,28,15.0,13.0,0.4642857142857143
1e4a02a9d493,22,15.0,7.0,0.3181818181818182
1e7e94b418a2,109,10.0,99.0,0.908256880733945
1eef155540b8,28,25.0,3.0,0.10714285714285714
1eff360ed093,308,15.0,293.0,0.9512987012987013
1fb1ce4ad1ec,20,20.0,0.0,0.0
2002da91be18,31,10.0,21.0,0.6774193548387096
200dcf20e7b6,38,30.0,8.0,0.21052631578947367
2025de024e3c,23,20.0,3.0,0.13043478260869565
209bc6cddedb,22,15.0,7.0,0.3181818181818182
20aac58eb9d1,108,40.0,68.0,0.6296296296296297
20e32de2f388,23,15.0,8.0,0.34782608695652173
21153c81a9d0,12,10.0,2.0,0.16666666666666666
21b8bb20e1a3,48,35.0,13.0,0.2708333333333333
2262be6a4a11,174,4.0,170.0,0.9770114942528736
22ca992fbe66,6,6.0,0.0,0.0
2353dca73150,39,25.0,14.0,0.358974358974359
23c1d4acf622,45,15.0,30.0,0.6666666666666666
23d22c57f04e,29,20.0,9.0,0.3103448275862069
23fe33b693fc,23,20.0,3.0,0.13043478260869565
24bef2be6ed9,41,30.0,11.0,0.2682926829268293
2563799519fd,55,40.0,15.0,0.2727272727272727
25d78d842d7f,34,30.0,4.0,0.11764705882352941
25dac83b811b,45,40.0,5.0,0.1111111111111111
263f6e00f37a,45,25.0,20.0,0.4444444444444444
270662542bb7,14,10.0,4.0,0.2857142857142857
276ac304c013,39,10.0,29.0,0.7435897435897436
2776e641ca7e,21,15.0,6.0,0.2857142857142857
2838d67cf975,26,20.0,6.0,0.23076923076923078
283c35a611a5,62,15.0,47.0,0.7580645161290323
2846427d4b29,22,15.0,7.0,0.3181818181818182
2847244b8db2,28,4.0,24.0,0.8571428571428571
29c7955b050a,31,25.0,6.0,0.1935483870967742
2a2e70f2d79c,32,30.0,2.0,0.0625
2a5646ed5f73,24,24.0,0.0,0.0
2aff76a20194,16,15.0,1.0,0.0625
2bb1f2574283,27,10.0,17.0,0.6296296296296297
2bc1eae26196,127,15.0,112.0,0.8818897637795275
2bd0b0a7490d,23,20.0,3.0,0.13043478260869565
2bf233d21669,37,30.0,7.0,0.1891891891891892
2cdba2676dd4,35,25.0,10.0,0.2857142857142857
2d5428b2467e,16,10.0,6.0,0.375
2de440801a0c,27,15.0,12.0,0.4444444444444444
2e195156049d,35,20.0,15.0,0.42857142857142855
2e70d22475b6,40,20.0,20.0,0.5
2ea7d16bedf6,36,25.0,11.0,0.3055555555555556
2f466954fec1,97,25.0,72.0,0.7422680412371134
2f6e8b40ba03,41,20.0,21.0,0.5121951219512195
3195c4a00d35,35,25.0,10.0,0.2857142857142857
3209f4223674,25,10.0,15.0,0.6
32573e961f2a,20,15.0,5.0,0.25
328d00bcabc5,19,3.0,16.0,0.8421052631578947
32a3f0ec4199,26,15.0,11.0,0.4230769230769231
32b0c182ab00,83,25.0,58.0,0.6987951807228916
32fceda404a1,17,15.0,2.0,0.11764705882352941
33208d81b4d3,31,15.0,16.0,0.5161290322580645
33a05817e36b,17,10.0,7.0,0.4117647058823529
33e57c258524,11,10.0,1.0,0.09090909090909091
342d063571c1,41,10.0,31.0,0.7560975609756098
3459a34b95aa,35,20.0,15.0,0.42857142857142855
3484fdcc56ec,34,20.0,14.0,0.4117647058823529
34b3a7996b41,237,15.0,222.0,0.9367088607594937
34c1a0c21005,1,1.0,0.0,0.0
352771594f0f,24,15.0,9.0,0.375
354bed60418f,17,15.0,2.0,0.11764705882352941
354d51571a69,21,20.0,1.0,0.047619047619047616
35aaf7f18ee9,28,20.0,8.0,0.2857142857142857
3695f18b47c2,15,10.0,5.0,0.3333333333333333
36fc1e63dd82,9,9.0,0.0,0.0
37aadaaf6be9,51,5.0,46.0,0.9019607843137255
37b79f4a89d2,66,10.0,56.0,0.8484848484848485
38a1c4f4a9ad,40,25.0,15.0,0.375
38c0ca1d1d4d,7,7.0,0.0,0.0
3972130064fc,63,20.0,43.0,0.6825396825396826
39bfdd2a2b0a,46,35.0,11.0,0.2391304347826087
39c95ff9c0bf,125,15.0,110.0,0.88
3a218b66e0dd,43,30.0,13.0,0.3023255813953488
3b4da6763f53,38,30.0,8.0,0.21052631578947367
3b9a406583ba,23,15.0,8.0,0.34782608695652173
3c2d7ee3b5dc,34,25.0,9.0,0.2647058823529412
3d05142016b2,28,15.0,13.0,0.4642857142857143
3d6a11af73d1,39,20.0,19.0,0.48717948717948717
3d8dbb127ccb,36,25.0,11.0,0.3055555555555556
3f3029be01a0,27,15.0,12.0,0.4444444444444444
3f5ca4c60b84,23,15.0,8.0,0.34782608695652173
3fdf090bcab5,36,20.0,16.0,0.4444444444444444
400a6c4a8fc0,15,10.0,5.0,0.3333333333333333
40abb4a58760,42,30.0,12.0,0.2857142857142857
40bd36fa081f,33,30.0,3.0,0.09090909090909091
40dd2ea91164,127,50.0,77.0,0.6062992125984252
417db417ec1b,24,15.0,9.0,0.375
419f08ea9641,23,15.0,8.0,0.34782608695652173
41debcfb9a8e,11,5.0,6.0,0.5454545454545454
42b00daa515d,24,5.0,19.0,0.7916666666666666
42df64070d42,28,25.0,3.0,0.10714285714285714
431098d99634,40,30.0,10.0,0.25
4464d5e4ba86,72,15.0,57.0,0.7916666666666666
4485e56b4657,53,15.0,38.0,0.7169811320754716
44c920de9087,54,40.0,14.0,0.25925925925925924
44ce082f898f,12,10.0,2.0,0.16666666666666666
450a31d8db7e,84,3.0,81.0,0.9642857142857143
458360d925e2,50,40.0,10.0,0.2
46b1c06c380c,13,5.0,8.0,0.6153846153846154
46cf336941e1,29,20.0,9.0,0.3103448275862069
48619b95acf5,58,35.0,23.0,0.39655172413793105
489f2b9ed484,44,40.0,4.0,0.09090909090909091
48b050f0384c,33,30.0,3.0,0.09090909090909091
4969948638de,36,20.0,16.0,0.4444444444444444
4a0c3c656134,32,30.0,2.0,0.0625
4a5282c9edfb,42,30.0,12.0,0.2857142857142857
4a6349ce2357,51,10.0,41.0,0.803921568627451
4a6757dbf1eb,37,10.0,27.0,0.7297297297297297
4aded15ec778,26,25.0,1.0,0.038461538461538464
4aec47d8f06b,111,3.0,108.0,0.972972972972973
4b22050885c0,10,5.0,5.0,0.5
4b61960093ef,45,20.0,25.0,0.5555555555555556
4b7ae127adf3,100,3.0,97.0,0.97
4b99a4d046e2,49,30.0,19.0,0.3877551020408163
4baf6d173cc4,44,25.0,19.0,0.4318181818181818
4befc01ce0ee,42,10.0,32.0,0.7619047619047619
4c30e5ee1928,10,10.0,0.0,0.0
4ce4d23cf3c8,55,10.0,45.0,0.8181818181818182
4d3e56b5bb7d,23,15.0,8.0,0.34782608695652173
4d6f26551574,47,35.0,12.0,0.2553191489361702
4de825432063,21,10.0,11.0,0.5238095238095238
4e30693fdf1b,1,1.0,0.0,0.0
4ead05e0a00a,27,15.0,12.0,0.4444444444444444
4ef769ab1984,23,10.0,13.0,0.5652173913043478
4fabaa96dc59,68,15.0,53.0,0.7794117647058824
5011634205ac,33,20.0,13.0,0.3939393939393939
50481d3ed109,17,10.0,7.0,0.4117647058823529
509cd92c174a,24,20.0,4.0,0.16666666666666666
50ec3c2e0cc9,43,25.0,18.0,0.4186046511627907
5117982b4ac2,41,25.0,16.0,0.3902439024390244
511fd16a3c93,16,15.0,1.0,0.0625
5166c94b6e8a,41,30.0,11.0,0.2682926829268293
516c2751011f,223,25.0,198.0,0.8878923766816144
51fff4448bb8,16,15.0,1.0,0.0625
52504b7dced0,43,30.0,13.0,0.3023255813953488
52596c4d9c49,24,15.0,9.0,0.375
52e8e680df04,43,20.0,23.0,0.5348837209302325
53383d0aecc2,94,15.0,79.0,0.8404255319148937
535529d16f16,193,10.0,183.0,0.9481865284974094
53a99dff6d86,4,4.0,0.0,0.0
55b4acb1d06d,286,10.0,276.0,0.965034965034965
55d385f57637,52,3.0,49.0,0.9423076923076923
56015e672db2,33,15.0,18.0,0.5454545454545454
56b7a3d967a0,39,25.0,14.0,0.358974358974359
574bd26b1ead,34,15.0,19.0,0.5588235294117647
5884f4d84106,9,9.0,0.0,0.0
588cc494113e,168,25.0,143.0,0.8511904761904762
59d5c1a25bc4,81,45.0,36.0,0.4444444444444444
5a2c0ee5b3f1,43,35.0,8.0,0.18604651162790697
5b18fe239f59,33,15.0,18.0,0.5454545454545454
5b6a6fb9510c,21,10.0,11.0,0.5238095238095238
5b81c464a0a0,28,25.0,3.0,0.10714285714285714
5beb04309407,82,25.0,57.0,0.6951219512195121
5c0439ede37a,35,15.0,20.0,0.5714285714285714
5ccf46f420d8,22,15.0,7.0,0.3181818181818182
5dcabd3fc8e0,102,10.0,92.0,0.9019607843137255
5dd5ceb3eb69,26,20.0,6.0,0.23076923076923078
5e2d543b8814,20,15.0,5.0,0.25
5f5c609281dc,39,10.0,29.0,0.7435897435897436
5f76d7f58e11,22,20.0,2.0,0.09090909090909091
5fa76e4906ec,149,25.0,124.0,0.8322147651006712
5fe186ff716a,25,15.0,10.0,0.4
6079eb4d1e8a,25,15.0,10.0,0.4
60cbac6004d0,51,25.0,26.0,0.5098039215686274
60fcb1dcddda,39,35.0,4.0,0.10256410256410256
614b3b9c9cf4,26,15.0,11.0,0.4230769230769231
61f49e2e0596,4,4.0,0.0,0.0
61fe063abb82,25,15.0,10.0,0.4
6257dcb8ac34,23,15.0,8.0,0.34782608695652173
62e41ae33d42,5,5.0,0.0,0.0
6401baf019b1,36,20.0,16.0,0.4444444444444444
64447b9fdb1f,12,4.0,8.0,0.6666666666666666
64b406765ea7,83,30.0,53.0,0.6385542168674698
64eda6326320,39,20.0,19.0,0.48717948717948717
6607fdec7553,58,35.0,23.0,0.39655172413793105
66b6f5d6bbfd,36,25.0,11.0,0.3055555555555556
673693ad4473,133,4.0,129.0,0.9699248120300752
68145e2b1dee,26,15.0,11.0,0.4230769230769231
686036fece58,33,15.0,18.0,0.5454545454545454
6868900ad1f4,31,30.0,1.0,0.03225806451612903
688f16718f87,40,35.0,5.0,0.125
68d7ba03e2d9,31,30.0,1.0,0.03225806451612903
68fc9eed82f7,18,15.0,3.0,0.16666666666666666
696531dbff83,16,16.0,0.0,0.0
69f91dbd3f96,38,20.0,18.0,0.47368421052631576
6a96156e4216,42,15.0,27.0,0.6428571428571429
6aa4612ce448,46,25.0,21.0,0.45652173913043476
6acc96d4ba95,60,40.0,20.0,0.3333333333333333
6b07dd80db36,16,10.0,6.0,0.375
6b2148db3402,34,20.0,14.0,0.4117647058823529
6baca4bddfb9,34,20.0,14.0,0.4117647058823529
6ca92003280d,31,10.0,21.0,0.6774193548387096
6ce330ccc174,8,8.0,0.0,0.0
6d33bd2041c3,9,9.0,0.0,0.0
6d69f18e988c,29,20.0,9.0,0.3103448275862069
6da8a1258f9f,71,25.0,46.0,0.647887323943662
6dba5c596b9a,37,25.0,12.0,0.32432432432432434
6dc350912b08,32,15.0,17.0,0.53125
6e15da920074,49,40.0,9.0,0.1836734693877551
6ed36895b2ab,34,10.0,24.0,0.7058823529411765
6ef8610d8b2a,33,25.0,8.0,0.24242424242424243
6f5320523bce,51,40.0,11.0,0.21568627450980393
6f930cd4ecf8,37,10.0,27.0,0.7297297297297297
707e91cb08d6,73,15.0,58.0,0.7945205479452054
709f95f98b2c,30,25.0,5.0,0.16666666666666666
70f4885bf169,35,10.0,25.0,0.7142857142857143
7156a8dc1060,31,30.0,1.0,0.03225806451612903
716cec401763,61,10.0,51.0,0.8360655737704918
71a76d17e23f,34,20.0,14.0,0.4117647058823529
728824377bcc,53,20.0,33.0,0.6226415094339622
72aebdcc941d,18,10.0,8.0,0.4444444444444444
72b39c25d90b,18,15.0,3.0,0.16666666666666666
72ca843bbeac,32,20.0,12.0,0.375
735e95b0e4fe,57,35.0,22.0,0.38596491228070173
739f5b29112b,31,20.0,11.0,0.3548387096774194
746265bb5f21,76,15.0,61.0,0.8026315789473685
74d9875afb73,45,35.0,10.0,0.2222222222222222
75695bff0954,14,10.0,4.0,0.2857142857142857
762049662c1b,21,10.0,11.0,0.5238095238095238
7666fe483e7b,134,20.0,114.0,0.8507462686567164
767cffe7b8b2,52,40.0,12.0,0.23076923076923078
7739b3d3edb1,55,15.0,40.0,0.7272727272727273
77ccc2fe6c04,29,15.0,14.0,0.4827586206896552
783730292823,23,15.0,8.0,0.34782608695652173
786db6fd58a9,49,45.0,4.0,0.08163265306122448
78c6f3c93855,16,10.0,6.0,0.375
78dec628e45d,119,15.0,104.0,0.8739495798319328
78e6a5c22025,19,10.0,9.0,0.47368421052631576
7912fbdf2516,18,15.0,3.0,0.16666666666666666
79870f312bbe,8,3.0,5.0,0.625
79ed6ba642e3,12,12.0,0.0,0.0
7a0a7deb0624,41,20.0,21.0,0.5121951219512195
7a7c10ce5773,24,10.0,14.0,0.5833333333333334
7a9fcd105949,107,55.0,52.0,0.48598130841121495
7b4c42a64c51,30,20.0,10.0,0.3333333333333333
7b61e59d0f86,70,30.0,40.0,0.5714285714285714
7b8f16167d24,27,15.0,12.0,0.4444444444444444
7ba5a1ed20f3,51,25.0,26.0,0.5098039215686274
7be5dd5655e6,40,25.0,15.0,0.375
7c56e9eeb20d,29,25.0,4.0,0.13793103448275862
7c648819eaa0,125,15.0,110.0,0.88
7caba4c30df7,32,30.0,2.0,0.0625
7cb8cf219ef4,36,36.0,0.0,0.0
7d13b7b8ffa4,30,10.0,20.0,0.6666666666666666
7d342dcaf99e,60,35.0,25.0,0.4166666666666667
7dba8aa798ea,42,30.0,12.0,0.2857142857142857
