trajectory_id,n_total_steps,first_alarm_step,lead_steps,lead_fraction
7de7791060f0,49,45.0,4.0,0.08163265306122448
7e376d279b00,24,15.0,9.0,0.375
7e5605cfe497,147,10.0,137.0,0.9319727891156463
7e5b9f5a0933,10,4.0,6.0,0.6
807ef288b0e9,45,20.0,25.0,0.5555555555555556
80b307c55357,37,15.0,22.0,0.5945945945945946
8193c789b905,22,15.0,7.0,0.3181818181818182
81dacabb70fc,59,25.0,34.0,0.576271186440678
822a65762411,27,10.0,17.0,0.6296296296296297
82440286a7c6,6,6.0,0.0,0.0
8268d1ec5d7d,24,15.0,9.0,0.375
82a0371a89d3,49,15.0,34.0,0.6938775510204082
82bf564ae641,20,3.0,17.0,0.85
8322a0a087f6,155,20.0,135.0,0.8709677419354839
839ef93ee4b8,23,15.0,8.0,0.34782608695652173
83d080252b7b,114,20.0,94.0,0.8245614035087719
849cdca13bda,53,25.0,28.0,0.5283018867924528
857a3dd87e85,42,20.0,22.0,0.5238095238095238
85892e34d1c3,15,10.0,5.0,0.3333333333333333
8598bdb17fbc,43,30.0,13.0,0.3023255813953488
86167c5ce92b,14,10.0,4.0,0.2857142857142857
8661146344e6,43,30.0,13.0,0.3023255813953488
86f96697c519,35,25.0,10.0,0.2857142857142857
8751ec89349b,60,15.0,45.0,0.75
8799bfd0518a,36,15.0,21.0,0.5833333333333334
8827d5e2f6b9,8,8.0,0.0,0.0
89d33cfbb296,32,30.0,2.0,0.0625
8a36ed61d442,39,30.0,9.0,0.23076923076923078
8a388a8c40ff,17,10.0,7.0,0.4117647058823529
8a4f13ac6cda,31,20.0,11.0,0.3548387096774194
8a7bb91d9500,36,20.0,16.0,0.4444444444444444
8a8668956842,42,20.0,22.0,0.5238095238095238
8b547b837a82,32,15.0,17.0,0.53125
8b7caba63012,30,20.0,10.0,0.3333333333333333
8cc5a2593a81,71,30.0,41.0,0.5774647887323944
8db746f7ea2e,38,30.0,8.0,0.21052631578947367
8e36b6adce02,45,15.0,30.0,0.6666666666666666
8e3b64604b95,8,8.0,0.0,0.0
8e594519955f,39,30.0,9.0,0.23076923076923078
8ebb8c552d44,55,20.0,35.0,0.6363636363636364
8eed994a6781,37,20.0,17.0,0.4594594594594595
905d0cb88a39,29,15.0,14.0,0.4827586206896552
906b73994966,55,30.0,25.0,0.45454545454545453
90c017b2f462,44,20.0,24.0,0.5454545454545454
91a9c0b82192,29,25.0,4.0,0.13793103448275862
91aa0cab3a0e,23,10.0,13.0,0.5652173913043478
91fab8919823,41,25.0,16.0,0.3902439024390244
9241e303fc21,59,20.0,39.0,0.6610169491525424
92fd3d77aa50,55,25.0,30.0,0.5454545454545454
93d2945c8015,26,15.0,11.0,0.4230769230769231
93f35e2cbbfe,28,25.0,3.0,0.10714285714285714
9439831efae0,8,8.0,0.0,0.0
9563958fc961,36,10.0,26.0,0.7222222222222222
96d2e42a2a27,17,10.0,7.0,0.4117647058823529
970f51fef1de,36,20.0,16.0,0.4444444444444444
985d27331d5d,32,20.0,12.0,0.375
989799a7c656,44,40.0,4.0,0.09090909090909091
9902bf8ee247,30,15.0,15.0,0.5
99077f010294,192,10.0,182.0,0.9479166666666666
9984426a7073,58,15.0,43.0,0.7413793103448276
999d1b2e7074,22,20.0,2.0,0.09090909090909091
99ba08b61c3b,50,25.0,25.0,0.5
9a11a4e7ff68,42,15.0,27.0,0.6428571428571429
9a28e5cd1581,23,15.0,8.0,0.34782608695652173
9aa66a02fb24,13,10.0,3.0,0.23076923076923078
9abb70524450,160,15.0,145.0,0.90625
9b758ad240d4,40,35.0,5.0,0.125
9bfdc495b739,33,25.0,8.0,0.24242424242424243
9cad474d2248,17,15.0,2.0,0.11764705882352941
9d57285695e4,29,25.0,4.0,0.13793103448275862
9d6ab8979e3e,55,15.0,40.0,0.7272727272727273
9f097b543a7f,29,10.0,19.0,0.6551724137931034
9fdd96c20217,32,15.0,17.0,0.53125
9ffa4d5682b4,10,5.0,5.0,0.5
a023845ccc10,43,20.0,23.0,0.5348837209302325
a061730151e4,29,15.0,14.0,0.4827586206896552
a0f8da0230a2,41,35.0,6.0,0.14634146341463414
a12ce609a23f,53,15.0,38.0,0.7169811320754716
a1954babef1f,31,15.0,16.0,0.5161290322580645
a19ee9d81fb2,39,15.0,24.0,0.6153846153846154
a210d3a5ea38,44,15.0,29.0,0.6590909090909091
a221611e96e8,23,10.0,13.0,0.5652173913043478
a24fe1229c3e,15,5.0,10.0,0.6666666666666666
a27934507285,27,20.0,7.0,0.25925925925925924
a2970aa6a7a2,97,15.0,82.0,0.845360824742268
a2c7d98a36a8,93,10.0,83.0,0.8924731182795699
a308262caa7e,24,10.0,14.0,0.5833333333333334
a32a0081a250,34,20.0,14.0,0.4117647058823529
a3d8cc59f926,30,20.0,10.0,0.3333333333333333
a3db1e075492,37,25.0,12.0,0.32432432432432434
a3e6607148bc,112,10.0,102.0,0.9107142857142857
a42197029f0d,30,3.0,27.0,0.9
a5c5db88ab15,44,40.0,4.0,0.09090909090909091
a69b2e4a2d5a,26,25.0,1.0,0.038461538461538464
a6d8ec07ef85,34,10.0,24.0,0.7058823529411765
a71a8f65f79a,14,10.0,4.0,0.2857142857142857
a71d1a724e82,10,10.0,0.0,0.0
a7cd496d0304,25,20.0,5.0,0.2
a981f474534b,36,25.0,11.0,0.3055555555555556
a98d4c5edc0c,44,10.0,34.0,0.7727272727272727
a9dc3a036a33,30,30.0,0.0,0.0
aa220996a756,41,4.0,37.0,0.9024390243902439
aa232004230c,22,15.0,7.0,0.3181818181818182
ab85ad854e9a,58,58.0,0.0,0.0
ab875ffe6f4e,30,20.0,10.0,0.3333333333333333
ab9636ababb2,88,10.0,78.0,0.8863636363636364
abdfd61bf754,40,15.0,25.0,0.625
ac3c950f0b93,7,7.0,0.0,0.0
acbc84cbc45d,43,30.0,13.0,0.3023255813953488
ae27993cf713,50,40.0,10.0,0.2
ae40ffaf9a47,20,15.0,5.0,0.25
ae503c1de15b,45,25.0,20.0,0.4444444444444444
af67344f0736,50,20.0,30.0,0.6
af9f05fde4bb,6,6.0,0.0,0.0
afaf4cc2c3d5,78,40.0,38.0,0.48717948717948717
aff10d3750d7,24,10.0,14.0,0.5833333333333334
b00a0d7ef84c,38,20.0,18.0,0.47368421052631576
b0cf0f788246,59,25.0,34.0,0.576271186440678
b0eb14243153,36,20.0,16.0,0.4444444444444444
b1f8b11cf888,179,5.0,174.0,0.9720670391061452
b217ecc4250d,56,5.0,51.0,0.9107142857142857
b227e4439318,32,15.0,17.0,0.53125
b284efe9db99,16,3.0,13.0,0.8125
b29ee3980aba,23,20.0,3.0,0.13043478260869565
b2e10d505e5a,26,25.0,1.0,0.038461538461538464
b2f1289cf9ce,75,15.0,60.0,0.8
b3bebe87dbc8,23,20.0,3.0,0.13043478260869565
b3ea902bc559,68,35.0,33.0,0.4852941176470588
b5098539cdaa,33,30.0,3.0,0.09090909090909091
b51771154803,212,70.0,142.0,0.6698113207547169
b5ab37431bd9,58,10.0,48.0,0.8275862068965517
b5cc3ab7c515,28,20.0,8.0,0.2857142857142857
b6106d92f30d,46,15.0,31.0,0.6739130434782609
b6f48adf0967,16,15.0,1.0,0.0625
b75265d80d4f,80,10.0,70.0,0.875
b77f66e00e17,18,5.0,13.0,0.7222222222222222
b7c224fdfeed,57,45.0,12.0,0.21052631578947367
b7ec147c7019,217,20.0,197.0,0.9078341013824884
b81c34d54344,46,20.0,26.0,0.5652173913043478
b839cf59082c,191,20.0,171.0,0.8952879581151832
b8a5528c4db2,25,15.0,10.0,0.4
b8b1eb787752,34,20.0,14.0,0.4117647058823529
b8d6b44f49d2,40,4.0,36.0,0.9
b8e9dacf7225,44,25.0,19.0,0.4318181818181818
b911803f0c5e,24,15.0,9.0,0.375
b9406ea43798,19,15.0,4.0,0.21052631578947367
b9408869f069,20,10.0,10.0,0.5
b9ab17075721,159,20.0,139.0,0.8742138364779874
b9c45776b928,19,19.0,0.0,0.0
b9e88df4fde8,57,55.0,2.0,0.03508771929824561
b9f9e81cd053,14,14.0,0.0,0.0
bb61d04f99a8,66,20.0,46.0,0.696969696969697
bb7caee668a4,11,10.0,1.0,0.09090909090909091
bb821df31d7e,36,5.0,31.0,0.8611111111111112
bbb4fc09b938,179,10.0,169.0,0.9441340782122905
bc804aa96396,34,15.0,19.0,0.5588235294117647
bc8e12a0ecdb,38,30.0,8.0,0.21052631578947367
bd4662f5de4a,289,25.0,264.0,0.9134948096885813
bdc942395b98,34,30.0,4.0,0.11764705882352941
be32628d2f4b,34,20.0,14.0,0.4117647058823529
be7cbe84a2a1,41,10.0,31.0,0.7560975609756098
be8922568f23,51,40.0,11.0,0.21568627450980393
be9d16d8f7f2,22,20.0,2.0,0.09090909090909091
bea0b91b8088,30,25.0,5.0,0.16666666666666666
bea60fa87b01,9,2.0,7.0,0.7777777777777778
bed22751e85d,15,15.0,0.0,0.0
bee9676794f8,108,20.0,88.0,0.8148148148148148
bf2d1f09dadf,228,10.0,218.0,0.956140350877193
bf7f14a38357,7,7.0,0.0,0.0
c0043d319a84,48,15.0,33.0,0.6875
c0c517215c94,152,20.0,132.0,0.868421052631579
c1bfce704f69,36,10.0,26.0,0.7222222222222222
c1eb59feb133,20,15.0,5.0,0.25
c2527dc46505,27,15.0,12.0,0.4444444444444444
c25a5f164a28,77,20.0,57.0,0.7402597402597403
c26002b56cd7,75,10.0,65.0,0.8666666666666667
c2855f9bebf7,8,8.0,0.0,0.0
c3198efa6130,39,39.0,0.0,0.0
c36de3b9b4a5,135,20.0,115.0,0.8518518518518519
c4b1f0c77880,37,30.0,7.0,0.1891891891891892
c5032f499732,83,40.0,43.0,0.5180722891566265
c5fb0fcbcc00,40,25.0,15.0,0.375
c617ce000f38,13,13.0,0.0,0.0
c630ec298a0d,54,10.0,44.0,0.8148148148148148
c6683e25c981,14,14.0,0.0,0.0
c6bf27a529ff,31,20.0,11.0,0.3548387096774194
c71196e72ba4,65,30.0,35.0,0.5384615384615384
c7a41d52ebe9,30,20.0,10.0,0.3333333333333333
c8951a32146d,15,3.0,12.0,0.8
c9c75fe68a4a,41,25.0,16.0,0.3902439024390244
ca5f88a2f53f,28,20.0,8.0,0.2857142857142857
ca7121e66875,39,30.0,9.0,0.23076923076923078
caedc2f05fc2,24,15.0,9.0,0.375
cafb69e3534f,33,10.0,23.0,0.696969696969697
cb592b0fc29b,32,20.0,12.0,0.375
cc08b33ac6af,41,15.0,26.0,0.6341463414634146
cc313546146a,38,15.0,23.0,0.6052631578947368
cc5f0f2196db,50,15.0,35.0,0.7
ccb2b76f1e00,23,20.0,3.0,0.13043478260869565
ccc54ce7e146,36,20.0,16.0,0.4444444444444444
ccd4caf39d77,26,15.0,11.0,0.4230769230769231
ccdbcf22521e,17,10.0,7.0,0.4117647058823529
cef9675ddaef,51,25.0,26.0,0.5098039215686274
cf16c32d83ec,53,30.0,23.0,0.4339622641509434
d13fb42a4ece,35,25.0,10.0,0.2857142857142857
d153cbeb6889,50,20.0,30.0,0.6
d229093613ff,105,10.0,95.0,0.9047619047619048
d247c4e77b4a,19,10.0,9.0,0.47368421052631576
d262701f91c8,46,10.0,36.0,0.782608695652174
d2e7371a456b,18,10.0,8.0,0.4444444444444444
d31b4039b6c7,178,25.0,153.0,0.8595505617977528
d38d72d05306,10,10.0,0.0,0.0
d3c037c3760a,15,3.0,12.0,0.8
d3f8f9d5c180,52,35.0,17.0,0.3269230769230769
d40549235770,24,20.0,4.0,0.16666666666666666
d43568bc918b,89,15.0,74.0,0.8314606741573034
d4675b70b7fb,28,15.0,13.0,0.4642857142857143
d47af0342572,35,10.0,25.0,0.7142857142857143
d480573610cf,27,15.0,12.0,0.4444444444444444
d4c465699001,33,25.0,8.0,0.24242424242424243
d54b939fce82,26,10.0,16.0,0.6153846153846154
d5aabd31d4c0,29,20.0,9.0,0.3103448275862069
d643124a6e8e,41,30.0,11.0,0.2682926829268293
d72226db01ed,60,45.0,15.0,0.25
d7b858156e2f,33,25.0,8.0,0.24242424242424243
d7e6026b2977,23,10.0,13.0,0.5652173913043478
d822061552a9,45,40.0,5.0,0.1111111111111111
d8bd45133e98,60,10.0,50.0,0.8333333333333334
d9bf5821ee5c,155,25.0,130.0,0.8387096774193549
da4e386866f2,15,10.0,5.0,0.3333333333333333
db29db276e33,34,15.0,19.0,0.5588235294117647
db66e4ff440a,41,20.0,21.0,0.5121951219512195
dbfafc72affd,74,70.0,4.0,0.05405405405405406
ddb69e75932d,22,10.0,12.0,0.5454545454545454
de4303e51d4c,33,10.0,23.0,0.696969696969697
dec3d47c6594,32,25.0,7.0,0.21875
dec78f536a21,34,30.0,4.0,0.11764705882352941
df729cd2c32d,44,20.0,24.0,0.5454545454545454
e16221a8cba0,28,15.0,13.0,0.4642857142857143
e22fadc8c659,52,30.0,22.0,0.4230769230769231
e37258f4d96b,23,20.0,3.0,0.13043478260869565
e404f7e8dfa4,37,15.0,22.0,0.5945945945945946
e470334c19d1,77,4.0,73.0,0.948051948051948
e4c3f7fac207,87,5.0,82.0,0.9425287356321839
e50103804a2d,41,10.0,31.0,0.7560975609756098
e5ca5f4c352b,36,20.0,16.0,0.4444444444444444
e6c0d9bcec9c,11,10.0,1.0,0.09090909090909091
e6de47351b63,39,15.0,24.0,0.6153846153846154
e72db58a6e12,17,2.0,15.0,0.8823529411764706
e734e125d4e7,56,15.0,41.0,0.7321428571428571
e7417c379cd7,70,35.0,35.0,0.5
e7be8fbcfe75,67,25.0,42.0,0.6268656716417911
e84dae7e2a0e,37,20.0,17.0,0.4594594594594595
e85680691fb0,36,30.0,6.0,0.16666666666666666
e862c455f093,18,15.0,3.0,0.16666666666666666
e8832a6f7588,40,15.0,25.0,0.625
e93ead946966,40,35.0,5.0,0.125
e9b3d95c6881,15,2.0,13.0,0.8666666666666667
e9ee02831d5f,49,20.0,29.0,0.5918367346938775
ea17ebbd0ea9,17,10.0,7.0,0.4117647058823529
ea5131636353,20,15.0,5.0,0.25
eaa13b31661d,6,4.0,2.0,0.3333333333333333
eb3a964f6572,26,20.0,6.0,0.23076923076923078
ebe2472c8e54,45,30.0,15.0,0.3333333333333333
ec55d4919d06,45,20.0,25.0,0.5555555555555556
ec7ca8be369d,37,35.0,2.0,0.05405405405405406
ecc18c964398,51,30.0,21.0,0.4117647058823529
ee1988d53c82,34,20.0,14.0,0.4117647058823529
ee2769850da9,107,30.0,77.0,0.719626168224299
ef0dce086079,35,20.0,15.0,0.42857142857142855
f010e1cafa43,28,15.0,13.0,0.4642857142857143
f06781c13189,37,25.0,12.0,0.32432432432432434
f0d2c8d934d5,18,10.0,8.0,0.4444444444444444
f11567a87d76,19,19.0,0.0,0.0
f12387f557b3,32,20.0,12.0,0.375
f125a11ab5c7,109,15.0,94.0,0.8623853211009175
f14829dd50d4,29,20.0,9.0,0.3103448275862069
f1f5428c4afa,39,25.0,14.0,0.358974358974359
f20f9d6d314e,33,20.0,13.0,0.3939393939393939
f223ac6485d7,48,20.0,28.0,0.5833333333333334
f25aa2b1b3ca,21,10.0,11.0,0.5238095238095238
f27a4e0ba447,154,10.0,144.0,0.935064935064935
f2e87763cbd4,29,15.0,14.0,0.4827586206896552
f334a3e6213a,41,20.0,21.0,0.5121951219512195
f3aa9920c7ab,42,25.0,17.0,0.40476190476190477
f3d4fc38d428,18,10.0,8.0,0.4444444444444444
f3efe0b5cd5a,31,15.0,16.0,0.5161290322580645
f43940e788b5,14,10.0,4.0,0.2857142857142857
f4dabe253054,40,15.0,25.0,0.625
f4e5bd7bf00a,85,30.0,55.0,0.6470588235294118
f542810d35a8,7,7.0,0.0,0.0
f562a0524223,67,15.0,52.0,0.7761194029850746
f63a99e11a29,16,10.0,6.0,0.375
f6d8191cf3d8,31,20.0,11.0,0.3548387096774194
f6d8337aba7f,62,20.0,42.0,0.6774193548387096
f72ea55ba67f,54,15.0,39.0,0.7222222222222222
f764f842e6de,73,20.0,53.0,0.726027397260274
f82ab064646f,49,25.0,24.0,0.4897959183673469
f889e0e02346,118,15.0,103.0,0.8728813559322034
f8d6d74729a3,37,15.0,22.0,0.5945945945945946
f9c181022df3,27,20.0,7.0,0.25925925925925924
f9ff1f801d27,23,10.0,13.0,0.5652173913043478
fa8832c2fabb,30,10.0,20.0,0.6666666666666666
faad2f7799b6,35,20.0,15.0,0.42857142857142855
fbf2474b9054,28,15.0,13.0,0.4642857142857143
fcc6d62b5a96,38,35.0,3.0,0.07894736842105263
fe030cb52edb,45,35.0,10.0,0.2222222222222222
fe1f510998d4,33,20.0,13.0,0.3939393939393939
fe469c771eae,29,10.0,19.0,0.6551724137931034
feb6bc34db33,43,20.0,23.0,0.5348837209302325
fff58ed6d224,42,2.0,40.0,0.9523809523809523
